city,category,name,url,address,website,email,scrapedAt
"New York","Sports & Fitness","Sports Lab NYC","https://www.google.com/maps/place/Sports+Lab+NYC/data=!4m7!3m6!1s0x89c259aa7be89cf9:0xccd3c59bd22925b5!8m2!3d40.7517498!4d-73.9794324!16s%2Fg%2F1pp2vdl9b!19sChIJ-Zzoe6pZwokRtSUp0pvF08w?authuser=0&hl=en&rclk=1","295 Madison Ave Ste 103G, New York, NY 10017, United States","http://www.sportslabnyc.com/","concierge@sportslabnyc.com","2026-08-17T04:52:52.912Z"
"New York","Sports & Fitness","GÜDSPORT at ARENA ONE","https://www.google.com/maps/place/G%C3%9CDSPORT+at+ARENA+ONE/data=!4m7!3m6!1s0x89c259d1a4d187a3:0x6c1bfe49ff32a1d0!8m2!3d40.7110759!4d-74.0120239!16s%2Fg%2F11sv00nvhc!19sChIJo4fRpNFZwokR0KEy_0n-G2w?authuser=0&hl=en&rclk=1","185 Greenwich St Suite 3001, New York, NY 10007, United States","https://www.gudsport.net/","Not found","2026-08-17T04:52:54.924Z"
"New York","Sports & Fitness","New York Sports Club","https://www.google.com/maps/place/New+York+Sports+Club/data=!4m7!3m6!1s0x89c259a0d7730515:0x5f5da1caab2a7776!8m2!3d40.7401753!4d-73.9857173!16s%2Fg%2F1tjz48r_!19sChIJFQVz16BZwokRdncqq8qhXV8?authuser=0&hl=en&rclk=1","113 E 23rd St, New York, NY 10010, United States","https://www.newyorksportsclubs.com/clubs/23rd-park","kayla.mcmillan@nysc.com, theresa.marett@nysc.com","2026-08-17T04:53:03.030Z"
"New York","Sports & Fitness","New York Sports Club","https://www.google.com/maps/place/New+York+Sports+Club/data=!4m7!3m6!1s0x89c258c09fc34bef:0xe80487af479f79e0!8m2!3d40.7710804!4d-73.9550559!16s%2Fg%2F1tfj4224!19sChIJ70vDn8BYwokR4HmfR6-HBOg?authuser=0&hl=en&rclk=1","349 E 76th St, New York, NY 10021, United States","https://www.newyorksportsclubs.com/clubs/76th-1st","Not found","2026-08-17T04:53:16.074Z"
"New York","Sports & Fitness","Strength Society NYC","https://www.google.com/maps/place/Strength+Society+NYC/data=!4m7!3m6!1s0x89c2f7c88b1432ab:0x8d74ac231ce9e50b!8m2!3d40.800466!4d-73.9675035!16s%2Fg%2F11wvh_s868!19sChIJqzIUi8j3wokRC-XpHCOsdI0?authuser=0&hl=en&rclk=1","237 W 105th St, New York, NY 10025, United States","https://strengthsocietynyc.com/","Not found","2026-08-17T04:53:29.164Z"
"New York","Sports & Fitness","GYM NYC","https://www.google.com/maps/place/GYM+NYC/data=!4m7!3m6!1s0x89c2598f3597444d:0x235a85560800e250!8m2!3d40.7226743!4d-73.9961133!16s%2Fg%2F11c0w84q0s!19sChIJTUSXNY9ZwokRUOIACFaFWiM?authuser=0&hl=en&rclk=1","227 Mulberry St, New York, NY 10012, United States","http://thegym.nyc/","Not found","2026-08-17T04:53:45.224Z"
"New York","Sports & Fitness","Solace New York","https://www.google.com/maps/place/Solace+New+York/data=!4m7!3m6!1s0x89c259a81dafd32b:0xa94db623517b9e62!8m2!3d40.7459869!4d-73.9831542!16s%2Fg%2F11b5ytccr4!19sChIJK9OvHahZwokRYp57USO2Tak?authuser=0&hl=en&rclk=1","38 E 32nd St, New York, NY 10016, United States","http://www.solacenewyork.com/","Not found","2026-08-17T04:53:58.323Z"
"New York","Sports & Fitness","New York Sports Club","https://www.google.com/maps/place/New+York+Sports+Club/data=!4m7!3m6!1s0x89c25907bca93641:0x4092de7df32d71fc!8m2!3d40.7466308!4d-73.9806914!16s%2Fg%2F1pv6ylhk2!19sChIJQTapvAdZwokR_HEt833ekkA?authuser=0&hl=en&rclk=1","3 Park Ave, New York, NY 10016, United States","https://www.newyorksportsclubs.com/clubs/murray-hill","Not found","2026-08-17T04:54:11.407Z"
"New York","Sports & Fitness","New York Sports Club","https://www.google.com/maps/place/New+York+Sports+Club/data=!4m7!3m6!1s0x89c258a4f9aeec59:0x336ba447dcc53e21!8m2!3d40.7822308!4d-73.9509295!16s%2Fg%2F1wrgl1w6!19sChIJWeyu-aRYwokRIT7F3EekazM?authuser=0&hl=en&rclk=1","1637 3rd Ave, New York, NY 10128, United States","https://www.newyorksportsclubs.com/clubs/91st-3rd","Not found","2026-08-17T04:54:24.409Z"
"New York","Sports & Fitness","Equinox Sports Club New York","https://www.google.com/maps/place/Equinox+Sports+Club+New+York/data=!4m7!3m6!1s0x89c258f5349badaf:0xcb3545ba002335ae!8m2!3d40.7745008!4d-73.9812756!16s%2Fg%2F1td0tt6v!19sChIJr62bNPVYwokRrjUjALpFNcs?authuser=0&hl=en&rclk=1","160 Columbus Ave, New York, NY 10023, United States","https://www.equinox.com/clubs/new-york/uptown/sportsclubnewyork?cid=gmb","Not found","2026-08-17T04:54:37.505Z"
